
#(1)                 (6)   (9)  (11)   (12) (13)           (14)        
#Name/ASCII          Con   mag    HIP     HD  RA(J2000)    Dec(J2000) 
Absolutno            Lyn  11.95      _      _ 116.716506    39.094572 
Monch                Vir   8.04  72339 130322 221.886361   -00.281474 
Montuno              Eri  10.06      _      _ 066.370903   -30.600447 
Morava               Peg  12.18      _      _ 356.666561    31.155937 
Moriah               Del  12.17      _      _ 306.123848    16.762170 
Mothallah            Tri   3.42   8796  11443  28.270450    29.578826 
Mouhoun              Eri   7.91  22491  30856  72.574423   -24.368843 
Mpingo               Cet  10.57      _      _ 029.263350     0.758855 
Muliphein            CMa   4.11  34045  53244 105.939554   -15.633286 
Muphrid              Boo   2.68  67927 121370 208.671161    18.397717 
Muscida              UMa   3.35  41704  71369 127.566128    60.718170 
Musica               Del   5.48 103527 199665 314.608058    10.839286 
Muspelheim           Per  11.73      _      _ 033.131160    51.778767 
Nahn                 Cnc   5.70  44946  78515 137.339722    22.045446 
Naledi               Dor  10.12      _      _ 087.139974   -63.988441 
Naos                 Pup   2.21  39429  66811 120.896031   -40.003148 
Nashira              Cap   3.69 106985 206088 325.022735   -16.662308 
Nasti                UMa   8.20  40687  68988 124.592386    61.460721 
Natasha              Vel   8.54  48235  85390 147.510404   -49.790266 
Nekkar               Boo   3.49  73555 133208 225.486510    40.390567 
Nembus               And   3.59   7607   9927  24.498154    48.628214 
Nenque               Phe   7.72   5054   6434  16.167293   -39.488218 
Nervia               Aur   8.10  32916  49674 102.877151    40.867757 
Nganurganity         CMa   3.49  33856  52877 105.429782   -27.934830 
Nihal                Lep   2.83  25606  36079  82.061346   -20.759441 
Nikawiy              Boo   7.88  74961 136418 229.775760    41.733206 
Nosaxa               Pup   8.05  31895  48265 100.007196   -48.541956 
Nunki                Sgr   2.05  92855 175191 283.816360   -26.296724 
Nusakan              CrB   3.90  75695 137909 231.957211    29.105699 
Nushagak             Cas   8.17  13192  17156  42.435361    71.753231 
Nyamien              Cen  10.80      _      _ 208.927967   -32.159615 
Ogma                 Her   8.16  80838 149026 247.623409    38.347311 
Okab                 Aql   2.99  93747 177724 286.352533    13.863477 
Paikauhale           Sco   2.82  81266 149438 248.970637   -28.216017 
Parumleo             Psc  11.41      _      _ 003.961699     1.200441 
Peacock              Pav   1.94 100751 193924 306.411904   -56.735090 
