HR,Name,DM,HD,SAO,FK5,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Vmag,SpType,Parallax
4217,,CP-59 2671,93502,251113,,10,46,16.8,-,60,36,12,6.25,A0IV,
4218,,BD-14 3186,93526,156235,,10,47,38,-,15,15,43,6.67,A0III,0.012
4219,,CP-63 1646,93540,251115,,10,46,16.5,-,64,30,54,5.34,B6V,
4220,,CP-63 1649,93549,251117,,10,46,29.7,-,64,15,48,5.23,B7IV,
4221,,CP-56 3800,93563,238468,,10,46,57.5,-,56,45,26,5.23,B8-9IIIe,
4222,,CP-63 1655,93607,251120,,10,46,51.2,-,64,23,0,4.85,B3IV,
4223,43    LMi,BD+30 2072,93636,81533,,10,48,57.2,+,29,24,57,6.15,sgK1,0.038
4224,,BD-01 2446,93655,137800,,10,48,40.6,-,1,57,32,5.93,M2III,
4225,,CD-31 8536,93657,201766,,10,48,14.2,-,31,41,18,5.88,A1V,
4226,,CP-56 3821,93662,238480,,10,47,38.7,-,57,28,4,6.36,M1II,
4227,53    Leo,BD+11 2283,93702,99305,409,10,49,15.4,+,10,32,43,5.34,A2V,0.007
4228,,CP-59 2720,93737,238493,2862,10,48,5.4,-,59,55,9,6,A0Ia-Iab,
4229,40    Sex,BD-03 2999,93742,137808,,10,49,17.3,-,4,1,27,6.61,A2IV,0.011
4230,44    LMi,BD+28 1931,93765,81542,2863,10,49,53.7,+,27,58,26,6.04,F3V,
4231,Del1Cha,CP-79  554,93779,258592,,10,45,15.7,-,80,28,11,5.47,K0III,0.003
4232,Nu  Hya,BD-15 3138,93813,156256,410,10,49,37.5,-,16,11,37,3.11,K2III,0.028
4233,,BD-09 3147,93833,137815,,10,49,43.5,-,9,51,10,5.86,gG8,
4234,Del2Cha,CP-79  556,93845,258593,411,10,45,46.8,-,80,32,25,4.45,B2.5IV,
4235,43    UMa,BD+57 1294,93859,27791,,10,51,11.1,+,56,34,56,5.67,K2III,
4236,42    UMa,BD+60 1296,93875,27793,2865,10,51,23.7,+,59,19,12,5.58,K2III,
4237,41    Sex,BD-08 3018,93903,137823,1281,10,50,18.1,-,8,53,52,5.79,A3m,
4238,,CD-33 7288,93905,201805,,10,49,57,-,34,3,29,5.61,A1V,
4239,,CP-58 2755,93943,238514,,10,49,24.1,-,59,19,25,5.91,B9.5IV-V,0.01
4240,,BD-02 3236,94014,137834,,10,51,5.4,-,3,5,33,5.95,K2,
4241,,BD+53 1439,94083,27809,,10,52,30.8,+,52,33,55,6.65,gG8,
4242,,BD+53 1440,94084,27810,,10,52,31.9,+,52,30,13,6.44,K2III,
4243,,BD+70  634,94132,7229,2866,10,53,30.7,+,69,51,14,5.93,G9IV,0.029
4244,,BD+01 2495,94180,118550,,10,52,13.7,+,1,1,31,6.38,A3V,
4245,,BD+00 2710,94237,118555,,10,52,36.1,-,0,12,5,6.31,K5III,
4246,44    UMa,BD+55 1418,94247,27815,2869,10,53,34.5,+,54,35,6,5.1,K3III,0.016
4247,46    LMi,BD+34 2172,94264,62297,412,10,53,18.7,+,34,12,54,3.83,K0+III-IV,0.024
4248,45Ome UMa,BD+43 2058,94334,43512,2870,10,53,58.7,+,43,11,24,4.71,A1V s,0.014
4249,,BD-01 2459,94363,137863,,10,53,24.9,-,2,15,19,6.12,K0III+G0V,
4250,,CP-56 3947,94367,238557,2868,10,52,30.9,-,57,14,26,5.25,B9Ia,
4251,,BD-19 3125,94388,156301,,10,53,29.5,-,20,8,20,5.24,F6V,0.054
4252,,BD-14 3213,94386,156302,,10,53,32.9,-,15,26,44,6.38,K3IV,
4253,,BD-01 2460,94402,137871,,10,53,43.7,-,2,7,45,5.45,G8III,
4254,48    LMi,BD+26 2147,94480,81576,,10,54,42.2,+,25,29,27,6.2,A8V,
4255,,BD-12 3293,94481,156310,2871,10,54,17.8,-,13,45,29,5.66,G4III,
4256,,BD+34 2178,94497,62310,,10,54,58.2,+,34,2,5,5.72,gG7,
4257,,CP-58 2834,94510,238574,,10,53,29.6,-,58,51,12,3.78,K1III,0.059
4258,46    UMa,BD+34 2181,94600,62314,,10,55,44.4,+,33,30,25,5.03,K1III,
4259,54    Leo,BD+25 2314,94601,81583,,10,55,36.8,+,24,44,59,4.5,A1V,0.015
4260,54    Leo,BD+25 2314,94602,81584,,10,55,37.3,+,24,44,56,6.3,A2Vn,0.015
4261,,BD-19 3134,94619,179334,2872,10,55,11.6,-,20,39,54,6.44,K0,
4262,,CP-70 1246,94650,256770,,10,53,42,-,70,43,13,5.99,B6V,0.004
4263,,CD-41 6220,94660,222422,,10,55,1,-,42,15,4,6.11,A0pSiCr,
4264,,BD+42 2162,94669,43535,,10,56,14.5,+,42,0,30,6.03,K2III,0.027
4265,55    Leo,BD+01 2501,94672,118574,,10,55,42.4,+,0,44,13,5.91,F2/3III/V,0.014
4266,,CP-61 1960,94683,251173,,10,54,29.6,-,61,49,36,5.93,K4III,
4267,56    Leo,BD+06 2369,94705,118576,,10,56,1.5,+,6,11,7,5.81,M5.5III,-0.003
4268,,CP-78  589,94717,256768,,10,52,27.5,-,79,33,34,6.33,K2II-III,
4269,,BD+23 2279,94720,81589,2873,10,56,16.9,+,22,21,6,6.14,K2,
4270,50    LMi,BD+26 2152,94747,81591,,10,56,34.4,+,25,30,0,6.35,K0,
4271,,CP-59 2840,94776,251178,,10,55,17.2,-,60,31,1,5.92,K0III,
4272,,BD+78  367,94860,7255,413,10,59,56.8,+,77,46,12,6.2,G9III,
4273,Iot Ant,CD-36 6808,94890,201927,414,10,56,43.1,-,37,8,16,4.6,K1III,0.025
4274,,CD-50 5534,94985,238622,2874,10,57,7.9,-,50,45,54,5.91,A4V,
